,artist,artist_pop,artist_id,song,song_pop,song_duration_ms,song_id
141,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Mojadero,61,235897,5uNOpdHMpFV9RxZ0qgNGcD
142,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Roce,58,115390,4kxELPk1Je0OXgiYnVhqSs
143,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Otra Noche,57,192941,63FVUiJ5vaaPlrFG28oPZT
144,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Dando,57,193974,0kEzIodWrEDtpKS0EYI99X
145,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Playa y Arena (Remix),56,237041,4Q6Z7fn2xVhPZ1xn0XfEOY
146,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Todo Va Estar Bien,55,194529,42sMYgin1f4iFDzo47LyOE
147,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Hoy,55,172000,6S5TzrDnSNzHwFArQVosrU
148,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Me Llamas,54,327999,3LgtCt7CVhMvNSMGoQD9i1
149,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Ponmelo a Sonar,49,181817,6jiRUFbYQ7JU6dN5WtnR28
150,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Rueda,78,210528,71NGDQ9vSPXm55pyWeAxKK
151,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Tumbala,66,186240,48HoWzu1Fe4QHUSilVHJGy
152,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,El Boom,66,219402,4D3RlFtxWG1vcgddoovAsN
153,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Maniquí - Remix,63,206872,7EgZdnwpSerKvFB8kkbnwG
154,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Colombiana,61,186801,6jqFyYXR54RHHo3S18rjab
155,Chimbala,70,4VVEpEhC8NcR7AqNEds42U,Brazilera (Remix),58,211226,5xGtnjJ6eaioRtV6hcHqY0
