,artist,artist_pop,artist_id,song,song_pop,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
79,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Donde Te Metes,45,20OHBUEU5ugofGDpd2KYTf,0.66,0.547,5,-8.182,0,0.0488,0.1,0.0,0.111,0.136,93.432,156500,3
80,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,En Filita Cooperando - Remix,58,5hG3xtRax4lX4gUTbK1UkP,0.6559999999999999,0.9390000000000001,10,-0.762,0,0.253,0.444,0.0481,0.0469,0.912,122.385,251613,4
81,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Me Subo Arriba,43,0rmJCeOoTH673NPxw4CiqM,0.8809999999999999,0.706,7,-2.9410000000000003,0,0.152,0.522,0.0,0.171,0.513,139.002,208147,4
82,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Tengo Derecho,40,4LgYL1ttItQJgEnmHY9wST,0.9009999999999999,0.807,8,-5.461,0,0.23800000000000002,0.0349,6.500000000000001e-05,0.0405,0.894,128.08,210881,4
83,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Salao,38,7MiA3RtXtEiPR8lEMI0i4G,0.9420000000000001,0.69,10,-8.205,0,0.0757,0.0132,0.017,0.063,0.792,125.001,226587,4
84,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Cama Vacía,37,4J0dwMGNLmX4l59xRisiNT,0.737,0.789,8,-5.57,0,0.061,0.44299999999999995,0.0,0.63,0.581,143.094,216812,4
85,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Su Favorita,35,1ZuBUBl4LwU0TLUbC5rkNJ,0.6809999999999999,0.762,11,-4.981,0,0.0803,0.11199999999999999,0.0,0.0901,0.825,179.922,178667,4
86,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Que Me Den Banda,34,7lRTSUr5aLu2cBcRcJpfHk,0.88,0.653,4,-5.787999999999999,0,0.177,0.006220000000000001,0.00613,0.0463,0.7020000000000001,128.086,217987,4
87,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Yo Soy Esa,33,4RcMzaO0T8rP1cZfqayTpU,0.794,0.7140000000000001,1,-7.4079999999999995,0,0.0648,0.376,0.0,0.18,0.727,129.987,209067,4
88,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Cual Es la Vaina,31,3eDJUJq4AWZV7tACznMhXJ,0.9209999999999999,0.752,6,-4.876,0,0.251,0.0776,1.99e-05,0.0393,0.716,119.961,184946,4
89,La Insuperable,49,1DnmGMN1A57wUR0KhxOnnu,Dime Linda Te Llenaste de Odio,29,0N7nbqVY4HgoQnyaoADmAM,0.701,0.863,2,-5.55,1,0.124,0.0052899999999999996,0.0347,0.059000000000000004,0.857,168.028,220000,4
90,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Watch Out (feat. Fetty Wap),53,7HR7MpHKZpnmdC7CVEhePh,0.9520000000000001,0.846,4,-5.805,0,0.247,0.0515,1.26e-06,0.317,0.597,117.946,117053,4
91,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Knock Out,53,6YRH8zh2KMbltmbSf4Qe1d,0.9309999999999999,0.932,0,-1.535,1,0.309,0.353,3.28e-05,0.0843,0.511,123.071,195596,4
92,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Perra (Remix),50,6m4hIAkxRTeJDPV6XsoBNR,0.8170000000000001,0.8079999999999999,7,-4.01,1,0.21600000000000003,0.0434,0.0,0.125,0.617,100.044,282411,4
93,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Siga Boyando,47,3pfmXyxD0SzpVVMjK57x1r,0.629,0.883,1,-4.882,1,0.25,0.248,0.00017900000000000001,0.32899999999999996,0.6,134.641,250510,4
94,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Serrucho Amolao,45,1kzs05g4L7sADL1JCBVH1s,0.919,0.907,10,-1.158,0,0.22,0.057999999999999996,3.1e-05,0.0467,0.802,121.93799999999999,232151,4
95,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Contento,45,7bDeSxA38xU0P1Pzot3WQm,0.542,0.847,5,-2.515,0,0.0496,0.0149,0.000532,0.0952,0.33299999999999996,100.035,218406,4
96,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,Que Te Pica,44,4CwzrnPwasFox12WLTz6Wf,0.857,0.74,9,-4.0760000000000005,1,0.187,0.203,8.88e-05,0.0559,0.23399999999999999,120.848,140494,4
97,Shelow Shaq,68,658X86qMyJpSRY87oPvExU,"La Nota Se Me Encampana (with Tali Goya, Ceky Viciny, Quimico Ultra Mega & Shelow Shaq) - Remix",44,43vpumD5K15N6Vb0kpuZCi,0.868,0.828,11,-4.283,1,0.192,0.0311,1.69e-06,0.14800000000000002,0.763,104.96600000000001,274840,4
